"1221","栃木県","栃木市","藤岡町下宮"
"1144","埼玉県","加須市","阿佐間"
"1146","埼玉県","加須市","新井新田"
"1211","埼玉県","加須市","飯積"
"1215","埼玉県","加須市","伊賀袋"
"1143","埼玉県","加須市","生出"
"1202","埼玉県","加須市","小野袋"
"1203","埼玉県","加須市","柏戸"
"1147","埼玉県","加須市","北大桑"
"1134","埼玉県","加須市","北下新井"
"1135","埼玉県","加須市","北平野"
"1154","埼玉県","加須市","外記新田"
"1133","埼玉県","加須市","琴寄"
"1214","埼玉県","加須市","駒場"
"1213","埼玉県","加須市","栄"
"1151","埼玉県","加須市","佐波"
"1142","埼玉県","加須市","杓子木"
"1153","埼玉県","加須市","新川通"
"1158","埼玉県","加須市","新利根"
"1155","埼玉県","加須市","砂原"
"1157","埼玉県","加須市","道目"
"1148","埼玉県","加須市","豊野台"
"1131","埼玉県","加須市","中渡"
"1132","埼玉県","加須市","旗井"
"1156","埼玉県","加須市","細間"
"1216","埼玉県","加須市","本郷"
"1145","埼玉県","加須市","間口"
"1141","埼玉県","加須市","松永新田"
"1205","埼玉県","加須市","向古河"
"1212","埼玉県","加須市","麦倉"
"1201","埼玉県","加須市","柳生"
"1152","埼玉県","加須市","弥兵衛"
"1204","埼玉県","加須市","陽光台"
"1115","埼玉県","久喜市","新井"
"1121","埼玉県","久喜市","伊坂"
"1126","埼玉県","久喜市","伊坂北"
"1127","埼玉県","久喜市","伊坂中央"
"1128","埼玉県","久喜市","伊坂南"
"1114","埼玉県","久喜市","河原代"
"1111","埼玉県","久喜市","北広島"
"1113","埼玉県","久喜市","狐塚"
"1104","埼玉県","久喜市","栗橋"
"1101","埼玉県","久喜市","栗橋北"
"1102","埼玉県","久喜市","栗橋中央"
"1103","埼玉県","久喜市","栗橋東"
"1105","埼玉県","久喜市","小右衛門"
"1124","埼玉県","久喜市","佐間"
"1116","埼玉県","久喜市","島川"
"1125","埼玉県","久喜市","高柳"
"1112","埼玉県","久喜市","中里"
"1123","埼玉県","久喜市","間鎌"
"1122","埼玉県","久喜市","松永"
"1106","埼玉県","久喜市","緑"
"1117","埼玉県","久喜市","南栗橋"
"0100","埼玉県","蓮田市",""
"0126","埼玉県","蓮田市","綾瀬"
"0135","埼玉県","蓮田市","井沼"
"0133","埼玉県","蓮田市","閏戸"
"0102","埼玉県","蓮田市","江ケ崎"
"0125","埼玉県","蓮田市","御前橋"
"0132","埼玉県","蓮田市","貝塚"
"0122","埼玉県","蓮田市","上"
"0136","埼玉県","蓮田市","上平野"
"0112","埼玉県","蓮田市","川島"
"0101","埼玉県","蓮田市","黒浜"
"0134","埼玉県","蓮田市","駒崎"
"0113","埼玉県","蓮田市","桜台"
"0103","埼玉県","蓮田市","笹山"
"0143","埼玉県","蓮田市","城"
"0124","埼玉県","蓮田市","末広"
"0121","埼玉県","蓮田市","関山"
"0137","埼玉県","蓮田市","高虫"
"0144","埼玉県","蓮田市","椿山"
"0141","埼玉県","蓮田市","西新宿"
"0145","埼玉県","蓮田市","西城"
"0131","埼玉県","蓮田市","根金"
"0115","埼玉県","蓮田市","蓮田"
"0111","埼玉県","蓮田市","東"
"0105","埼玉県","蓮田市","藤ノ木"
"0123","埼玉県","蓮田市","本町"
"0114","埼玉県","蓮田市","馬込"
"0104","埼玉県","蓮田市","緑町"
"0142","埼玉県","蓮田市","南新宿"
"0127","埼玉県","蓮田市","見沼町"
"0128","埼玉県","蓮田市","山ノ内"
"0200","埼玉県","白岡市",""
"0202","埼玉県","白岡市","荒井新田"
"0225","埼玉県","白岡市","太田新井"
"0226","埼玉県","白岡市","岡泉"
"0221","埼玉県","白岡市","上野田"
"0217","埼玉県","白岡市","小久喜"
"0216","埼玉県","白岡市","実ケ谷"
"0204","埼玉県","白岡市","篠津"
"0201","埼玉県","白岡市","柴山"
"0203","埼玉県","白岡市","下大崎"
"0223","埼玉県","白岡市","下野田"
"0218","埼玉県","白岡市","白岡"
"0219","埼玉県","白岡市","白岡東"
"0212","埼玉県","白岡市","新白岡"
"0215","埼玉県","白岡市","千駄野"
"0213","埼玉県","白岡市","高岩"
"0222","埼玉県","白岡市","爪田ケ谷"
"0214","埼玉県","白岡市","寺塚"
"0205","埼玉県","白岡市","西"
"0224","埼玉県","白岡市","彦兵衛"
"0211","埼玉県","白岡市","野牛"
