"0121","群馬県","安中市","松井田町峠"
"2261","新潟県","妙高市","樽本"
"1104","長野県","長野市","豊野町浅野"
"1106","長野県","長野市","豊野町石"
"1102","長野県","長野市","豊野町大倉"
"1103","長野県","長野市","豊野町蟹沢"
"1101","長野県","長野市","豊野町川谷"
"1105","長野県","長野市","豊野町豊野"
"1107","長野県","長野市","豊野町南郷"
"2103","長野県","中野市","穴田"
"2102","長野県","中野市","上今井"
"2371","長野県","中野市","田上"
"2101","長野県","中野市","豊津"
"2104","長野県","中野市","永江"
"2200","長野県","飯山市",""
"2251","長野県","飯山市","旭"
"2253","長野県","飯山市","飯山"
"2602","長野県","飯山市","一山"
"2415","長野県","飯山市","大池"
"2234","長野県","飯山市","木島"
"2252","長野県","飯山市","小佐原"
"2418","長野県","飯山市","寿"
"2235","長野県","飯山市","坂井"
"2255","長野県","飯山市","静間"
"2232","長野県","飯山市","下木島"
"2242","長野県","飯山市","其綿"
"2601","長野県","飯山市","照岡"
"2413","長野県","飯山市","照里"
"2231","長野県","飯山市","天神堂"
"2412","長野県","飯山市","常郷"
"2414","長野県","飯山市","常盤"
"2258","長野県","飯山市","富倉"
"2411","長野県","飯山市","豊田"
"2417","長野県","飯山市","中曽根"
"2233","長野県","飯山市","野坂田"
"2256","長野県","飯山市","蓮"
"2257","長野県","飯山市","斑尾高原"
"2322","長野県","飯山市","瑞穂"
"2321","長野県","飯山市","瑞穂豊"
"2416","長野県","飯山市","緑"
"2254","長野県","飯山市","南町"
"2244","長野県","飯山市","安田"
"2241","長野県","飯山市","山岸"
"2243","長野県","飯山市","吉"
"0823","長野県","千曲市","新山"
"0806","長野県","千曲市","磯部"
"0802","長野県","千曲市","内川"
"0805","長野県","千曲市","上徳間"
"0822","長野県","千曲市","上山田"
"0821","長野県","千曲市","上山田温泉"
"0801","長野県","千曲市","小船山"
"0811","長野県","千曲市","須坂"
"0803","長野県","千曲市","千本柳"
"0824","長野県","千曲市","力石"
"0804","長野県","千曲市","戸倉"
"0807","長野県","千曲市","戸倉温泉"
"0812","長野県","千曲市","羽尾"
"0813","長野県","千曲市","若宮"
"0500","長野県","東御市",""
"0517","長野県","東御市","県"
"0503","長野県","東御市","新屋"
"0404","長野県","東御市","大日向"
"0504","長野県","東御市","海善寺"
"0514","長野県","東御市","加沢"
"0505","長野県","東御市","和"
"0502","長野県","東御市","鞍掛"
"0519","長野県","東御市","塩川"
"0513","長野県","東御市","滋野"
"0512","長野県","東御市","滋野"
"0512","長野県","東御市","滋野乙"
"0511","長野県","東御市","滋野"
"0511","長野県","東御市","滋野甲"
"0401","長野県","東御市","島川原"
"0405","長野県","東御市","下之城"
"0516","長野県","東御市","田中"
"0515","長野県","東御市","常田"
"0402","長野県","東御市","布下"
"0506","長野県","東御市","祢津"
"0407","長野県","東御市","羽毛山"
"0501","長野県","東御市","新張"
"0403","長野県","東御市","御牧原"
"0518","長野県","東御市","本海野"
"0406","長野県","東御市","八重原"
"0100","長野県","北佐久郡軽井沢町",""
"0115","長野県","北佐久郡軽井沢町","追分"
"0102","長野県","北佐久郡軽井沢町","軽井沢"
"0102","長野県","北佐久郡軽井沢町","軽井沢大字"
"0103","長野県","北佐久郡軽井沢町","軽井沢"
